tweet_id,timestamp_time,timestamp_date,rating_numerator,rating_denominator_1,p1,p1_conf,p1_dog,p1_conf_level
891815181378084864,00:18:03,2017-07-31,12,10,Chihuahua,0.716012,True,confidence
891327558926688256,16:00:24,2017-07-29,12,10,basset,0.555712,True,confidence
890729181411237888,00:22:40,2017-07-28,13,10,Pomeranian,0.566142,True,confidence
890240255349198849,15:59:51,2017-07-26,14,10,Pembroke,0.511319,True,confidence
890006608113172480,00:31:25,2017-07-26,13,10,Samoyed,0.957979,True,very confidence
889665388333682689,01:55:32,2017-07-25,13,10,Pembroke,0.966327,True,very confidence
889638837579907072,00:10:02,2017-07-25,12,10,French_bulldog,0.99165,True,very confidence
889531135344209921,17:02:04,2017-07-24,13,10,golden_retriever,0.953442,True,very confidence
889278841981685760,00:19:32,2017-07-24,13,10,whippet,0.626152,True,confidence
888917238123831296,00:22:39,2017-07-23,12,10,golden_retriever,0.714719,True,confidence
888554962724278272,00:23:06,2017-07-22,13,10,Siberian_husky,0.700377,True,confidence
888078434458587136,16:49:33,2017-07-20,12,10,French_bulldog,0.995026,True,very confidence
887705289381826560,16:06:48,2017-07-19,13,10,basset,0.821664,True,confidence
887473957103951883,00:47:34,2017-07-19,13,10,Pembroke,0.809197,True,confidence
887101392804085760,00:07:08,2017-07-18,12,10,Samoyed,0.733942,True,confidence
886983233522544640,16:17:36,2017-07-17,13,10,Chihuahua,0.793469,True,confidence
886366144734445568,23:25:31,2017-07-15,12,10,French_bulldog,0.999201,True,very confidence
886258384151887873,16:17:19,2017-07-15,13,10,pug,0.943575,True,very confidence
885984800019947520,22:10:11,2017-07-14,12,10,Blenheim_spaniel,0.972494,True,very confidence
885311592912609280,01:35:06,2017-07-13,13,10,Labrador_retriever,0.908703,True,very confidence
885167619883638784,16:03:00,2017-07-12,13,10,malamute,0.8124819999999999,True,confidence
884876753390489601,20:47:12,2017-07-11,13,10,chow,0.822103,True,confidence
884562892145688576,00:00:02,2017-07-11,13,10,pug,0.5464060000000001,True,confidence
884441805382717440,15:58:53,2017-07-10,14,10,Pembroke,0.993225,True,very confidence
884162670584377345,21:29:42,2017-07-09,12,10,German_shepherd,0.707046,True,confidence
883838122936631299,00:00:04,2017-07-09,12,10,Doberman,0.610946,True,confidence
883482846933004288,00:28:19,2017-07-08,5,10,golden_retriever,0.943082,True,very confidence
883360690899218434,16:22:55,2017-07-07,13,10,chow,0.987997,True,very confidence
883117836046086144,00:17:54,2017-07-07,13,10,golden_retriever,0.949562,True,very confidence
882762694511734784,00:46:41,2017-07-06,12,10,Labrador_retriever,0.85005,True,very confidence
882627270321602560,15:48:34,2017-07-05,13,10,Pembroke,0.542982,True,confidence
882268110199369728,16:01:23,2017-07-04,13,10,golden_retriever,0.762211,True,confidence
881666595344535552,00:11:11,2017-07-03,13,10,Saluki,0.529012,True,confidence
880872448815771648,19:35:32,2017-06-30,12,10,Pembroke,0.791416,True,confidence
880465832366813184,16:39:47,2017-06-29,12,10,golden_retriever,0.913255,True,very confidence
879862464715927552,00:42:13,2017-06-28,13,10,basset,0.813507,True,confidence
879008229531029506,16:07:47,2017-06-25,13,10,vizsla,0.960513,True,very confidence
878776093423087618,00:45:22,2017-06-25,13,10,Italian_greyhound,0.734684,True,confidence
878057613040115712,01:10:23,2017-06-23,14,10,French_bulldog,0.839097,True,confidence
877736472329191424,03:54:17,2017-06-22,13,10,Chesapeake_Bay_retriever,0.8379559999999999,True,confidence
877556246731214848,15:58:08,2017-06-21,12,10,basset,0.995368,True,very confidence
877316821321428993,00:06:44,2017-06-21,13,10,Saluki,0.5099670000000001,True,confidence
877201837425926144,16:29:50,2017-06-20,12,10,Pembroke,0.93112,True,very confidence
876838120628539392,16:24:33,2017-06-19,12,10,bloodhound,0.575751,True,confidence
876484053909872640,16:57:37,2017-06-18,13,10,golden_retriever,0.874566,True,very confidence
876120275196170240,16:52:05,2017-06-17,13,10,Bernese_mountain_dog,0.534327,True,confidence
875747767867523072,16:11:53,2017-06-16,13,10,Labrador_retriever,0.799551,True,confidence
875021211251597312,16:04:48,2017-06-14,12,10,West_Highland_white_terrier,0.7143189999999999,True,confidence
874680097055178752,17:29:20,2017-06-13,12,10,Labrador_retriever,0.836052,True,confidence
874057562936811520,00:15:36,2017-06-12,12,10,flat-coated_retriever,0.8321770000000001,True,confidence
874012996292530176,21:18:31,2017-06-11,13,10,Cardigan,0.806674,True,confidence
873580283840344065,16:39:04,2017-06-10,13,10,Newfoundland,0.678537,True,confidence
873213775632977920,16:22:42,2017-06-09,12,10,vizsla,0.6197819999999999,True,confidence
872820683541237760,14:20:41,2017-06-08,13,10,pug,0.99912,True,very confidence
872620804844003328,01:06:27,2017-06-08,13,10,cocker_spaniel,0.513191,True,confidence
872486979161796608,16:14:40,2017-06-07,12,10,Pembroke,0.931861,True,very confidence
